cas_number,label,table_link,db_id,indication
75921-69-6,Afamelanotide,1876X1753,,"Investigated for use/treatment in actinic keratosis, keratoses, skin cell studies, and skin infections/disorders."
,"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCINE",1876X1802,,
,METHOXYUNDECYLPHOSPHINIC ACID,1876X1834,,
84225-95-6,Raclopride,1876X1927,,
73573-87-2,Formoterol,1877X1638,DB00983,"For use as long-term maintenance treatment of asthma in patients 6 years of age and older with reversible obstructive airways disease, including patients with symptoms of nocturnal asthma, who are using optimal corticosteroid treatment and experiencing regular or frequent breakthrough symptoms requiring use of a short-acting bronchodilator. Not indicated for asthma that can be successfully managed with occasional use of an inhaled, short-acting beta2-adrenergic agonist. Also used for the prevention of exercise-induced bronchospasm, as well as long-term treatment of bronchospasm associated with COPD."
536-71-0,Diminazene,1877X1714,DB03608,
,THIO-ATPA,1877X1749,,
,"(3S,5E)-3-propyl-3,4-dihydrothieno[2,3-f][1,4]oxazepin-5(2H)-imine",1877X1797,,
,4-(2-AMINOPHENYL)-4-OXOBUTANOIC ACID,1877X1829,,
73836-78-9,Leukotriene D4,1877X1907,,
34580-13-7,Ketotifen,1878X1635,DB00920,Indicated as an add-on or prophylactic oral medication in the chronic treatment of mild atopic asthmatic children. Also used as self-medication for the temporary relief of itching of the eye due to allergic conjunctivitis (ophthalmic).
,S-(N-Hydroxy-N-Iodophenylcarbamoyl)Glutathione,1878X1705,DB03330,
,"(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",1878X1793,,
,N~2~-(biphenyl-4-ylsulfonyl)-N-hydroxy-N~2~-(2-hydroxyethyl)glycinamide,1878X1827,,
87-00-3,Homatropine,1878X1892,,Indicated as an overdose-rescuing agent in combination with hydrocodone antitussive [FDA Label].    Indicated for the induction of mydriasis in ophthalmic solutions.
,Glutamine t-butyl ester,1879X1743,,
380610-27-5,Pertuzumab,1879X1781,,Pertuzumab is indicated for use in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease.
25775-90-0,Zucapsaicin,1879X1859,,"Indicated to be used in conjunction with oral COX-2 inhibitors or NSAIDs for the relief of severe pain in adult patients with osteoarthritis of the knee, not controlled with oral COX-2 inhibitors or NSAIDs alone, for a duration of no more than three months."
85721-33-1,Ciprofloxacin,1880X1623,DB00537,"For the treatment of the following infections caused by susceptible organisms: urinary tract infections, acute uncomplicated cystitis, chronic bacterial prostatitis, lower respiratory tract infections, acute sinusitis, skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections (used in combination with metronidazole), infectious diarrhea, typhoid fever (enteric fever), uncomplicated cervical and urethral gonorrhea, and inhalational anthrax (post-exposure)."
,[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate,1880X1662,DB01858,
,4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid,1880X1732,DB04256,
88899-56-3,Bafilomycin B1,1880X1788,,
,"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",1880X1825,,
241479-67-4,Isavuconazole,1880X1899,,"- Indicated for patients 18 years of age and older for the treatment of invasive aspergillosis [FDA Label].  - Indicated for patients 18 years of age and older for the treatment of invasive mucormycosis [FDA Label], including patients where treatment amphotericin B is inappropriate [L1482]."
599-79-1,Sulfasalazine,1881X1631,DB00795,For the treatment of Crohn's disease and rheumatoid arthritis as a second-line agent.
,1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid,1881X1667,DB02032,
63-37-6,Cytidine-5'-Monophosphate,1881X1707,DB03403,
465499-11-0,Rapacuronium,1881X1749,,"Used in anaesthesia, to aid and enable endotracheal intubation."
,"7A-[(4-cyanophenyl)methyl]-6-(3,5-dichlorophenyl)-5-oxo-2,3,5,7A-tetrahydro-1H-pyrrolo[1,2-A]pyrrole-7-carbonitrile",1881X1795,,
13739-02-1,Diacerein,1881X1910,,For the treatment of osteoarthritis affecting the hip or knee [L780].
64228-81-5,Atracurium besylate,2250X1629,DB00732,"For use, as an adjunct to general anesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
,"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",2250X1666,DB01998,
,"Phosphoric Acid Mono-[3-Amino-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester",2250X1702,DB03233,
,Naphthyridine Inhibitor,2250X1737,DB04434,
,D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide,2250X1791,,
24305-27-9,Protirelin,2250X1867,,
637-07-0,Clofibrate,2251X1626,DB00636,For Primary Dysbetalipoproteinemia (Type III hyperlipidemia) that does not respond adequately to diet. This helps control high cholesterol and high triglyceride levels.
133-89-1,Uridine diphosphate glucose,2251X1662,DB01861,
,(S)-Hmg-Coa,2251X1700,DB03169,
,"1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",2251X1738,DB04469,
,(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one,2251X1791,,
,[[CYCLOHEXANESULFONYL-GLYCYL]-3[PYRIDIN-4-YL-AMINOMETHYL]ALANYL]PIPERIDINE,2251X1824,,
26615-21-4,Zotepine,2251X1862,,"Zotepine, like other atypical antipsychotics, is considered as the first-line treatment in newly diagnosed schizophrenia. It is usually thought to be an option of choice for managing acute schizophrenic episodes when discussion with the patient is not possible. Zotepine, as an atypical antipsychotic, is used in patients who are suffering unacceptable side effects from conventional antipsychotics or in relapse patients that were inadequately controlled.[T108]     It is important to consider that the indications stated above are related to atypical antipsychotics, that zotepine is not currently FDA, Canada or EMA approved and that studies have not shown any additional benefit when compared with other approved atypical antipsychotics.[A31857]    Schizophrenia is a chronic and severe mental disorder that affects how a person thinks, feels and behaves. It is usually marked for a loose reality perspective delineated by hallucinations, delusions and thought and movement disorders.[L1320]"
57-22-7,Vincristine,2252X1623,DB00541,"Treatment of acute lymphocytic leukemia (ALL), Hodgkin lymphoma, non-Hodgkin lymphomas, Wilms' tumor, neuroblastoma, rhabdomyosarcoma. Liposomal vincristine is indicated for the treatment of relapsed Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL)."
123-78-4,Sphingosine,2252X1701,DB03203,
105628-72-6,Hydroxyfasudil,2252X1745,,
,D-leucyl-N-(3-chlorobenzyl)-L-prolinamide,2252X1793,,
,ISOTHIAZOLIDINONE ANALOG,2252X1826,,
554-57-4,Methazolamide,2253X1628,DB00703,For treatment of chronic open-angle glaucoma and acute angle-closure glaucoma
,Trifluoroacetonyl Coenzyme A,2253X1665,DB01969,
50-27-1,Estriol,2253X1741,DB04573,Used as a test to determine the general health of an unborn fetus.
,"5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE",2253X1792,,
,N-(4-{[(3S)-3-(dimethylamino)pyrrolidin-1-yl]carbonyl}phenyl)-5-fluoro-4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-amine,2253X1824,,
14028-44-5,Amoxapine,2254X1623,DB00543,For the relief of symptoms of depression in patients with neurotic or reactive depressive disorders as well as endogenous and psychotic depressions. May also be used to treat depression accompanied by anxiety or agitation.
57680-56-5,Sucrosofate,2254X1663,DB01901,
,"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine",2254X1739,DB04505,
,N-BENZYL-4-[4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL]-1H-PYRROLE-2-CARBOXAMIDE,2254X1796,,
88660-47-3,Epicriptine,2254X1894,,Please refer to [DB01049] and to know more about the isomer please refer to [DB11274].
170729-80-3,Aprepitant,2255X1627,DB00673,"For the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy, including high-dose cisplatin (in combination with other antiemetic agents)."
,CRA_10433,2255X1700,DB03173,
152-43-2,Quinestrol,2255X1741,,"Used in hormone replacement therapy, treating symptoms of menopause such as hot flashes. Also used to treat breast and prostate cancer."
,2-[4-(3-METHYL-1H-PYRAZOL-4-YL)PHENYL]ETHANAMINE,2255X1828,,
9001-73-4,Papain,2255X1892,,No FDA-approved therapeutic indications.
85-32-5,Guanosine-5'-Monophosphate,2256X1665,DB01972,
,4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide,2256X1704,DB03307,
,4-(acetylamino)-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide,2256X1830,,
28014-46-2,Polyestradiol phosphate,2256X1866,,
191732-72-6,Lenalidomide,2257X1621,DB00480,Lenalidomide is indicated for the treatment of multiple myeloma in combination with dexamethasone. It is also indicated for the treatment of patients with transfusion-dependent anemia due to low- or intermediate- risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.
193275-84-2,Lonafarnib,2257X1782,,"Investigated for use/treatment in solid tumors, leukemia (unspecified), and lung cancer."
64318-79-2,Gemeprost,2257X1854,,"Indicated for the softening and dilatation of the cervix uteri prior to transcervical, intrauterine operative procedures in the first trimester of pregnancy or facilitating therapeutic termination of pregnancy in patients in the second trimester of gestation."
87-08-1,Phenoxymethylpenicillin,2258X1619,DB00417,"For the treatment of mild to moderately severe infections (e.g. dental infection, infections in the heart, middle ear infections, rheumatic fever, scarlet fever, skin infections, upper and lower respiratory tract infections) due to microorganisms."
,(S)-Wiskostatin,2258X1658,DB01731,
,Glutathione Sulfonic Acid,2258X1695,DB03003,
451493-31-5,AV-412,2258X1775,,Investigated for use/treatment in cancer/tumors (unspecified).
,"6-(3,4-DIHYDROXYBENZYL)-3-ETHYL-1-(2,4,6-TRICHLOROPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4(5H)-ONE",2258X1814,,
74517-78-5,Indecainide,2259X1612,DB00192,For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.
38677-81-5,Pirbuterol,2259X1646,,For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible bronchospasm including asthma.
,SP4160,2259X1682,DB02555,
57-10-3,Palmitic Acid,2259X1718,DB03796,
,APD668,2259X1758,,Investigated for use/treatment in diabetes mellitus type 2.
56-41-7,L-Alanine,2260X1611,DB00160,Used for protein synthesis.
145216-43-9,Forasartan,2260X1647,,For the treatment of hypertension.
,4-Hydroxy-Aconitate Ion,2260X1723,DB03964,
,"3-{[(9-CYANO-9,10-DIHYDRO-10-METHYLACRIDIN-9-YL)CARBONYL]AMINO}PROPANOIC ACID",2260X1809,,
1379686-29-9,SR-9011,2260X1954,,
133-16-4,Chloroprocaine,2261X1642,DB01161,For the production of local anesthesia by infiltration and peripheral nerve block. They are not to be used for lumbar or caudal epidural anesthesia.
36357-77-4,Phosphoramidon,2261X1682,DB02557,
79-63-0,Lanosterol,2261X1715,DB03696,
106344-20-1,Stannsoporfin,2261X1751,,"Investigated for use/treatment in liver disease, metabolic disease, and pediatric indications."
,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,2261X1800,,
,N-(4-CHLOROPHENYL)-3-(PHOSPHONOOXY)NAPHTHALENE-2-CARBOXAMIDE,2261X1833,,
96346-61-1,Onapristone,2261X1929,,
69-72-7,Salicylic acid,2262X1633,DB00936,"Key additive in many skin-care products for the treatment of acne, psoriasis, callouses, corns, keratosis pilaris and warts."
,2-CHLORO-5-(3-CHLORO-PHENYL)-6-[(4-CYANO-PHENYL)-(3-METHYL-3H-IMIDAZOL-4-YL)- METHOXYMETHYL]-NICOTINONITRILE,2262X1792,,
,"4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL",2262X1825,,
5587-89-3,Iopodic acid,2262X1863,,"Iopodic acid is available as a cholecystographic agent. This denomination indicates the iopodic acid is a radiopaque substance that can be used to visualize the gallbladder and biliary channels in abdominal X-ray.[L1587, A32087] An abdominal X-ray uses a minimal amount of ionizing radiation to produce pictures of the inside of the abdominal cavity. It is commonly used to evaluate the stomach, liver, intestines, and spleen.[L1589]    Iopodic acid has also been indicated for the treatment of hyperthyroidism such as Graves disease.[A32085, A32086] Hyperthyroidism refers to any condition where there is too much thyroid hormone produced in the body (overactive thyroid). When the overactivity involves the entire thyroid gland, it is known as Grave's disease.[L1590]"
66-79-5,Oxacillin,2263X1626,DB00713,Used in the treatment of resistant staphylococci infections.
57-55-6,Propylene glycol,2263X1659,DB01839,
52773-87-2,Vinylglycine,2263X1699,DB03214,
,"4-Carboxy-5-(1-Pentyl)Hexylsulfanyl-1,2,3-Triazole",2263X1733,DB04374,
,6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE,2263X1789,,
54-32-0,Moxisylyte,2263X1859,,"By the WHO, moxisylyte is indicated for the symptomatic management of sequelae of cerebral infarction or hemorrhage.[T91] The cerebral infarction is characterized by the blockage of the artery either by the formation of a thrombus or an embolus.[A31644]     On the other hand, the FDA classified moxisylyte for the reversal of phenylephrine-induced mydriasis in patients who have narrow anterior angles and are at risk of developing an acute attack of angle-closure glaucoma.[L1172]  Closed-angle glaucoma is caused by the contact between the iris and the trabecular meshwork. This contact will damage the aqueous outflow by the meshwork thus, increasing eye pressure and producing the symptoms of glaucoma.[A31645] Mydriasis is referred to the dilatation of the pupils and this standard body function is known to be a trigger factor for the development of acute closed-angle glaucoma.This risk is explained by the generation of a pupillary block, which is the contact between the pupillary margins and the lens, thus preventing flow from the aqueous humor to the anterior chamber and followed by an increased pressure gradient.[L1173]     Moxisylyte is also approved in France as the first drug for the treatment of impotence.[A31647]"
58-00-4,Apomorphine,2264X1626,DB00714,"For the acute, intermittent treatment of hypomobility, off episodes (end-of-dose wearing off and unpredictable on/off episodes) associated with advanced Parkinson's disease."
,"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",2264X1662,DB01948,
,"2',3'-Dideoxythymidine-5'-Monophosphate",2264X1697,DB03150,
,"2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one",2264X1814,,
,"1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE",2264X1846,,
37106-97-1,Bentiromide,2265X1620,DB00522,Used as a screening test for exocrine pancreatic insufficiency and to monitor the adequacy of supplemental pancreatic therapy.
,PNU177836,2265X1692,DB02977,
,N-Heptylformamide,2265X1725,DB04105,
845272-21-1,Varlitinib,2265X1772,DB05944,Investigated for use/treatment in cancer/tumors (unspecified).
,N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE,2265X1810,,
,"2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM",2265X1842,,
80890-47-7,Concanamycin A,2265X1953,,
114-07-8,Erythromycin,1866X1614,DB00199,"For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>."
79647-29-3,"Quinonoid 7,8-Tetrahydrobiopterin",1866X1684,DB02562,
,Erythose-4-Phosphate,1866X1724,DB03937,
185517-21-9,Arundic acid,1866X1764,DB05343,Investigated for use/treatment in cerebral ischemia.
38321-02-7,Dexverapamil,1866X1957,,
83-89-6,Quinacrine,1867X1642,DB01103,For the treatment of giardiasis and cutaneous leishmaniasis and the management of malignant effusions.
,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",1867X1680,DB02427,
,Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine,1867X1714,DB03597,
167221-71-8,Clevidipine,1867X1753,,For the treatment of hypertension.
,"6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE",1867X1804,,
6640-24-0,m-Chlorophenylpiperazine,1867X1915,,
,Carba-Nicotinamide-Adenine-Dinucleotide,1868X1682,DB02498,
108-93-0,Cyclohexanol,1868X1717,DB03703,
120635-74-7,Cilansetron,1868X1752,,For the treatment of symptoms associated with irritable bowel syndrome.
,"2-(3,4-DIHYDROXYPHENYL)-8-(1,1-DIOXIDOISOTHIAZOLIDIN-2-YL)-3-HYDROXY-6-METHYL-4H-CHROMEN-4-ONE",1868X1798,,
334476-46-9,Vestipitant,1868X1910,,
,N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide,1869X1710,DB03456,
,(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID,1869X1743,,
,2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID,1869X1793,,
1406-16-2,Vitamin D,1869X1891,,"Vitamin D is indicated for use in the treatment of hypoparathyroidism, refractory rickets (also known as vitamin D resistant rickets), and familial hypophosphatemia [FDA Label]."
14769-73-4,Levamisole,1870X1634,DB00848,For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.  Levamisole was originally used as an antihelminthic to treat worm infestations in both humans and animals.
,"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",1870X1674,DB02226,
,"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",1870X1749,,
,"4-(4-propoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",1870X1833,,
1027785-90-5,Dotatate gallium Ga-68,1870X1953,,Dotatate gallium 68 is one of the most prominent radiopharmaceuticals used in imaging with positron emission tomography. It binds to the somatostatin-2 receptor which is usually overexpressed in many neuroendocrine tumors in both adult and pediatric patients.[A31362] The neuroendocrine tumors are bening or malignant tumors produced in the hormone producing cells of the neuroendocrine system.[L1048]
58-73-1,Diphenhydramine,1871X1641,DB01075,"For the treatment of symptoms associated with Vertigo/Meniere's disease, nausea and vomiting, motion sickness and insect bite."
,1-Hydroxy-2-S-Glutathionyl-3-Para-Nitrophenoxy-Propane,1871X1717,DB03706,
,PN0621,1871X1761,,"Intended for the treatment of auto-immune diseases such as rheumatoid arthritis, psoriasis and Crohn's disease."
,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,1871X1800,,
,"(5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-phenyl-1,6-dioxa-2-azaspiro[4.5]dec-2-ene-8,9,10-triol",1871X1832,,
31262-37-0,Tetrahydrocannabivarin,1871X1904,,"THCV does not currently have any FDA, Health Canada, or EMA approved indications."
58-39-9,Perphenazine,1872X1634,DB00850,For use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults.
,"(1s)-1-(9-Deazaadenin-9-Yl)-1,4,5-Trideoxy-1,4-Imino-5-Methylthio-D-Ribitol",1872X1672,DB02158,
,Flavin-Adenine Dinucleotide-N5-Isobutyl Ketone,1872X1712,DB03531,
390-64-7,Prenylamine,1872X1750,,
,D-leucyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,1872X1797,,
,"N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine",1872X1829,,
,Agkistrodon piscivorus antivenin,1872X1952,,CROFAB is a sheep-derived antivenin indicated for the management of adult and pediatric patients with North American crotalid envenomation [FDA label].
129453-61-8,Fulvestrant,1873X1637,DB00947,For the treatment of hormone receptor positive metastatic breast cancer in postmenopausal women with disease progression following anti-estrogen therapy.
,"M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene",1873X1707,DB03359,
,"2-(4-fluorophenyl)-N-{[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]carbamoyl}acetamide",1873X1797,,
,"2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-methylbenzonitrile",1873X1830,,
94948-59-1,Tasonermin,1873X1900,,"For use in adults as an adjunct to surgery for subsequent removal of the tumour so as to prevent or delay amputation, or in palliative care, for irresectable soft tissue sarcoma of the limbs [FDA Label]. Used in combination with melphalan via mild hyperthermic isolated limb perfusion."
77337-76-9,Acamprosate,1874X1628,DB00659,For the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation
,Mant-Adp,1874X1700,DB03126,
,D-[(N-Hydroxyamino)Carbonyl]Phenylalanine,1874X1735,DB04316,
262352-17-0,Torcetrapib,1874X1781,,Investigated for use/treatment in peripheral vascular disease and hyperlipidemia.
,"N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE",1874X1815,,
,"1,2,5,8-tetrahydroxyanthracene-9,10-dione",1874X1847,,
105-20-4,Betazole,1875X1616,DB00272,For use clinically to test gastric secretory function.
358-72-5,Dimethylallyl Diphosphate,1875X1661,DB01785,
141-22-0,Ricinoleic Acid,1875X1695,DB02955,
85416-75-7,(R)-Rolipram,1875X1730,DB04149,
,EP-2104R,1875X1770,,Investigated for use/treatment in cardiovascular disorders and thrombosis.
77-26-9,Butalbital,1876X1615,DB00241,"Used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches, migraines, and pain."
,Ephedra,1876X1649,,"Ephedra is widely used by athletes, despite a lack of evidence that it enhances athletic performance. Ephedra has also been used for weight loss."
,"N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate",1876X1686,DB02643,
618-41-7,Benzenesulfinic acid,1876X1721,DB03848,
132449-46-8,Lesopitron,1876X1754,,Intended for the treatment of anxiety disorders.
,"2-{2-[(3,5-dimethylphenyl)amino]pyrimidin-4-yl}-N-[(1S)-2-hydroxy-1-methylethyl]-4-methyl-1,3-thiazole-5-carboxamide",1876X1803,,
,N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE,1876X1835,,
,Anti-inhibitor coagulant complex,1876X1946,,"For use in the control of bleeding episodes, perioperative management, and routine prophylaxis against bleeding episodes in hemophilia A and B patients with inhibitors [FDA Label]. It is not indicated in the absence of factor VIII or IX inhibitors."
723-46-6,Sulfamethoxazole,1877X1639,DB01015,"For the treatment bacterial infections causing bronchitis, prostatitis and urinary tract infections."
,Benzofuran-2-Carboxylic Acid {(S)-3-Methyl-1-[3-Oxo-1-(Pyridin-2-Ylsulfonyl)Azepan-4-Ylcarbamoyl]Butyl}Amide,1877X1715,DB03642,
,5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE,1877X1798,,
,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide,1877X1830,,
1286770-55-5,Verubecestat,1877X1920,DB12285,
121679-13-8,Naratriptan,1878X1636,DB00952,For the acute treatment of migraine attacks with or without aura in adults.
,N-Sulfo-Flavin Mononucleotide,1878X1671,DB02164,
,S-METHYL-GLUTATHIONE,1878X1745,,
,"4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL",1878X1794,,
,4-[3-(4-CHLOROPHENYL)-1H-PYRAZOL-5-YL]PIPERIDINE,1878X1828,,
475086-01-2,Selexipag,1878X1896,,Selexipag is indicated for the treatment of pulmonary arterial hypertension (PAH) to delay disease progression and reduce risk of hospitalization.
34420-17-2,Phenylethane Boronic Acid,1879X1665,DB01963,
,Phenylphosphate,1879X1704,DB03298,
93413-62-8,Desvenlafaxine,1879X1787,,Desvenlafaxine is indicated for the treatment of major depressive disorder in adults.
,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",1879X1821,,
107667-60-7,Polaprezinc,1879X1862,,"Peptic ulcer disease, dyspepsia [L1308]."
104993-28-4,Fondaparinux,1880X1624,DB00569,"Approved for: (1) prophylaxis of VTE for up to one month post surgery in patients undergoing orthopedic surgery of the lower limbs such as hip fracture, hip replacement and knee surgery; (2) prophylaxis of VTE patients undergoing abdominal surgery who are at high risk of thromboembolic complications (e.g. patients undergoing abdominal cancer surgery); (3) treatment of acute DVT and PE; (4) management of UA and NSTEMI for the prevention of death and subsequent myocardial infarction (MI); and (5) management of STEMI for the prevention of death and myocardial reinfarction in patients who are managed with thrombolytics or who are initially to receive no form of reperfusion therapy. Fondaparinux should not be used as the sole anticoagulant during percutaneous coronary intervention (PCI) due to an increased risk of guiding catheter thrombosis."
,N6-Benzyl Adenosine-5'-Diphosphate,1880X1663,DB01893,
51528-59-7,Phosphoglycolohydroxamic Acid,1880X1696,DB03026,
,2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine,1880X1733,DB04288,
,N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE,1880X1826,,
1585973-65-4,Depatuxizumab mafodotin,1880X1902,DB11731,No approved indication.
,Triglu-5-Formyl-Tetrahydrofolate,1881X1668,DB02067,
55837-20-2,Halofuginone,1881X1750,,"For the treatment of scleroderma, cancer, and restenosis."
,D-phenylalanyl-N-{4-[amino(iminio)methyl]benzyl}-L-prolinamide,1881X1796,,
,N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA,1881X1828,,
105102-22-5,Mometasone,2250X1630,DB00764,The inhaler is indicated for the maintenance treatment of asthma as prophylactic therapy. The nasal spray is indicated for the treatment of the nasal symptoms of seasonal allergic and perennial allergic rhinitis.
,1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,2250X1703,DB03267,
